dist_img,ref_img,dmos,var,split
I01_01_01.png,I01.png,4.57,0.496,train
I01_01_02.png,I01.png,4.33,0.869,train
I01_01_03.png,I01.png,2.67,0.789,val
I01_01_04.png,I01.png,1.67,0.596,train
I01_01_05.png,I01.png,1.1,0.3,train
I01_02_01.png,I01.png,3.83,0.86,test
I01_02_02.png,I01.png,2.27,0.772,train
I01_02_03.png,I01.png,1.53,0.67,test
I01_02_04.png,I01.png,1.23,0.418,train
I01_02_05.png,I01.png,1.2,0.4,train
I01_03_01.png,I01.png,4.73,0.442,val
I01_03_02.png,I01.png,3.97,0.657,train
I01_03_03.png,I01.png,2.7,0.936,train
I01_03_04.png,I01.png,2.03,0.795,train
I01_03_05.png,I01.png,1.5,0.5,train
I01_04_01.png,I01.png,4.73,0.512,train
I01_04_02.png,I01.png,2.17,1.035,train
I01_04_03.png,I01.png,1.37,0.547,train
I01_04_04.png,I01.png,1.5,0.619,train
I01_04_05.png,I01.png,1.47,0.806,train
I01_05_01.png,I01.png,4.0,0.856,val
I01_05_02.png,I01.png,2.2,0.909,train
I01_05_03.png,I01.png,1.57,0.559,train
I01_05_04.png,I01.png,1.33,0.537,val
I01_05_05.png,I01.png,1.6,0.611,train
I01_06_01.png,I01.png,4.23,0.761,val
I01_06_02.png,I01.png,4.4,0.554,train
I01_06_03.png,I01.png,3.9,0.943,test
I01_06_04.png,I01.png,2.9,0.831,train
I01_06_05.png,I01.png,2.27,0.929,train
I01_07_01.png,I01.png,2.73,1.123,train
I01_07_02.png,I01.png,2.5,1.025,train
I01_07_03.png,I01.png,2.27,1.062,train
I01_07_04.png,I01.png,2.47,1.147,val
I01_07_05.png,I01.png,2.2,0.945,train
I01_08_01.png,I01.png,4.7,0.458,test
I01_08_02.png,I01.png,3.77,0.616,train
I01_08_03.png,I01.png,2.73,1.062,train
I01_08_04.png,I01.png,1.97,0.912,train
I01_08_05.png,I01.png,1.67,0.699,train
I01_09_01.png,I01.png,4.6,0.49,val
I01_09_02.png,I01.png,4.67,0.537,train
I01_09_03.png,I01.png,4.4,0.611,train
I01_09_04.png,I01.png,2.9,1.044,train
I01_09_05.png,I01.png,1.37,0.547,val
I01_10_01.png,I01.png,4.37,0.657,train
I01_10_02.png,I01.png,3.93,0.854,val
I01_10_03.png,I01.png,3.77,0.803,train
I01_10_04.png,I01.png,1.58,0.555,train
I01_10_05.png,I01.png,1.17,0.373,train
I01_11_01.png,I01.png,4.03,0.948,train
I01_11_02.png,I01.png,3.27,0.814,train
I01_11_03.png,I01.png,2.67,0.745,test
I01_11_04.png,I01.png,2.27,0.772,train
I01_11_05.png,I01.png,2.37,0.752,train
I01_12_01.png,I01.png,4.43,0.559,val
I01_12_02.png,I01.png,3.7,0.69,train
I01_12_03.png,I01.png,2.77,0.883,train
I01_12_04.png,I01.png,2.37,0.836,val
I01_12_05.png,I01.png,1.97,0.547,train
I01_13_01.png,I01.png,3.67,0.789,val
I01_13_02.png,I01.png,2.87,1.087,test
I01_13_03.png,I01.png,2.6,0.663,val
I01_13_04.png,I01.png,2.07,0.727,train
I01_13_05.png,I01.png,2.03,0.657,train
I01_14_01.png,I01.png,4.57,0.616,train
I01_14_02.png,I01.png,3.57,1.023,train
I01_14_03.png,I01.png,3.13,0.846,train
I01_14_04.png,I01.png,2.5,0.764,train
I01_14_05.png,I01.png,2.27,0.68,train
I01_15_01.png,I01.png,3.57,0.989,train
I01_15_02.png,I01.png,2.63,0.912,train
I01_15_03.png,I01.png,1.77,0.607,train
I01_15_04.png,I01.png,1.4,0.49,train
I01_15_05.png,I01.png,1.33,0.471,train
I01_16_01.png,I01.png,4.37,0.547,train
I01_16_02.png,I01.png,4.47,0.562,val
I01_16_03.png,I01.png,3.94,0.504,train
I01_16_04.png,I01.png,3.17,0.898,train
I01_16_05.png,I01.png,2.18,0.796,test
I01_17_01.png,I01.png,4.5,0.5,train
